nama_desa,CC_4,kejadian_count,penduduk,laju_100k,laju_use,laju_diff
Jatisaba,3303060004,1,3727,26.831232,26.831232,0.000000
Bojanegara,3303080006,1,6629,15.085232,15.085232,0.000000
Kaligondang,3303050008,1,3379,29.594555,29.594555,0.000000
Munjul,3303090002,1,3905,25.608195,25.608195,0.000000
Kutasari,3303090004,1,5446,18.362101,18.362101,0.000000
Pekiringan,3303150003,3,4064,73.818898,73.818898,0.000000
Cipaku,3303110016,1,8924,11.205737,11.205737,0.000000
Kedungwuluh,3303070015,1,3562,28.074116,28.074116,0.000000
Bandingan,3303030001,1,6164,16.223232,16.223232,0.000000
Penolih,3303050004,1,4073,24.551927,24.551927,0.000000
Padamara,3303080004,1,3016,33.156499,33.156499,0.000000
Pager Andong,3303110015,1,6856,14.585764,14.585764,0.000000
Cipawon,3303020004,1,6922,14.446692,14.446692,0.000000
Kalimanah Wetan,3303070011,1,3615,27.662517,27.662517,0.000000
Patemon,3303100005,1,4723,21.172983,21.172983,0.000000
Penambongan,3303060007,1,4839,20.665427,20.665427,0.000000
Mewek,3303070007,1,2454,40.749796,40.749796,0.000000
Binangun,3303110017,1,4574,21.862702,21.862702,0.000000
Kalikajar,3303050012,2,4808,41.597338,41.597338,0.000000
Penaruban,3303050011,1,7262,13.770311,13.770311,0.000000
Karangmalang,3303120003,1,3422,29.222677,29.222677,0.000000
Purbalingga Lor,3303060011,3,6488,46.239211,46.239211,0.000000
Pengadegan,3303040002,1,10743,9.308387,9.308387,0.000000
Sangkanayu,3303110019,1,5638,17.736786,17.736786,0.000000
Senon,3303010011,1,5348,18.698579,18.698579,0.000000
Tlahab Kidul,3303130005,1,5913,16.911889,16.911889,0.000000
Tunjungmuli,3303150009,2,12311,16.245634,16.245634,0.000000
Prigi,3303080010,1,3243,30.835646,30.835646,0.000000
